Webpage,Run,FID,Type,RangeMin,RangeMax,XPath1,Xpath2,ClassNarrower,ClassMin,ClassMid,ClassMax,ClassWider
192.168.0.108/,1,1,Element-Protrusion,320,767,/HTML/BODY/DIV/DIV/DIV[2]/DIV/DIV/DIV[3]/DIV[4],/HTML/BODY/DIV/DIV/DIV[2],TP,TP,TP,TP,FP
192.168.0.108/,1,2,Element-Protrusion,320,767,/HTML/BODY/DIV/DIV/DIV[2]/DIV/DIV/DIV[3]/DIV[3],/HTML/BODY/DIV/DIV/DIV[2],TP,TP,TP,TP,FP
192.168.0.108/,1,3,Element-Protrusion,320,767,/HTML/BODY/DIV/DIV/FOOTER/DIV,/HTML/BODY/DIV/DIV/FOOTER,TP,TP,TP,TP,FP
192.168.0.108/,1,4,Element-Protrusion,320,767,/HTML/BODY/DIV/DIV/FOOTER/DIV[2],/HTML/BODY/DIV/DIV/FOOTER,TP,TP,TP,TP,FP
192.168.0.108/,1,5,Element-Protrusion,320,767,/HTML/BODY/DIV/DIV/FOOTER/DIV[3],/HTML/BODY/DIV/DIV/FOOTER,TP,TP,TP,TP,FP
192.168.0.108/,1,6,Element-Protrusion,551,767,/HTML/BODY/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV/DIV/DIV[3]/DIV,/HTML/BODY/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV/DIV/DIV[3],FP,TP,TP,TP,FP
192.168.0.108/,1,7,Wrapping,320,376,/HTML/BODY/DIV/DIV/DIV[2]/DIV/DIV/DIV/DIV/DIV/DIV[3]/DIV/A[3],/HTML/BODY/DIV/DIV/DIV[2]/DIV/DIV/DIV/DIV/DIV/DIV[3]/DIV/A,TP,TP,TP,TP,FP
192.168.0.108/,1,8,Element-Protrusion,746,767,/HTML/BODY/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV/DIV/DIV/DIV,/HTML/BODY/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV/DIV/DIV,FP,TP,TP,TP,FP
192.168.0.108/,1,9,Element-Protrusion,670,767,/HTML/BODY/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV,/HTML/BODY/DIV/DIV/DIV[2]/DIV/DIV/DIV[2]/DIV/DIV/DIV[2],FP,TP,TP,TP,FP
192.168.0.108/,1,10,Element-Protrusion,320,767,/HTML/BODY/DIV/DIV/DIV[2]/DIV/DIV/DIV[2],/HTML/BODY/DIV/DIV/DIV[2],TP,TP,TP,TP,FP
