Webpage,Run,FID,Type,RangeMin,RangeMax,XPath1,Xpath2,ClassNarrower,ClassMin,ClassMid,ClassMax,ClassWider
192.168.0.108-8080/,1,1,Element-Protrusion,320,324,/HTML/BODY/DIV[4]/DIV[4]/A,/HTML/BODY/DIV[4],TP,TP,TP,TP,FP
192.168.0.108-8080/,1,2,Element-Collision,320,380,/HTML/BODY/DIV[3]/DIV/DIV[2],/HTML/BODY/DIV[3]/DIV/DIV/A/IMG,TP,TP,TP,TP,FP
192.168.0.108-8080/,1,3,Element-Protrusion,900,900,/HTML/BODY/FOOTER/DIV[3],/HTML/BODY/FOOTER,FP,FP,FP,FP,FP
192.168.0.108-8080/,1,4,Element-Protrusion,900,900,/HTML/BODY/DIV[7]/P,/HTML/BODY/DIV[7],TP,FP,FP,FP,FP
192.168.0.108-8080/,1,5,Element-Protrusion,900,900,/HTML/BODY/FOOTER/DIV[2],/HTML/BODY/FOOTER,FP,FP,FP,FP,FP
192.168.0.108-8080/,1,6,Element-Protrusion,320,331,/HTML/BODY/DIV[6]/DIV,/HTML/BODY/DIV[6],TP,TP,TP,TP,FP
192.168.0.108-8080/,1,7,Element-Collision,320,380,/HTML/BODY/DIV[2]/DIV/DIV[10],/HTML/BODY/DIV[2]/DIV/DIV[9]/A/IMG,TP,TP,TP,TP,FP
192.168.0.108-8080/,1,8,Element-Collision,320,380,/HTML/BODY/DIV[2]/DIV/DIV[2],/HTML/BODY/DIV[2]/DIV/DIV/A/IMG,TP,TP,TP,TP,FP
192.168.0.108-8080/,1,9,Element-Protrusion,334,334,/HTML/BODY/SECTION[2]/DIV,/HTML/BODY/SECTION[2],FP,FP,FP,FP,FP
192.168.0.108-8080/,1,10,Wrapping,901,941,/HTML/BODY/HEADER/NAV/DIV[2],/HTML/BODY/HEADER/NAV/A[4],FP,TP,TP,TP,FP
